@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
534,'2020/01/13 08:29:46:632',22,387.597656,2.764366,7.343781,3
535,'2020/01/13 08:29:47:315',22,172.265625,3.308889,11.026102,3
536,'2020/01/13 08:29:48:015',22,0,4.206085,10.11585,3
537,'2020/01/13 08:29:48:715',22,2325.585938,2.111268,5.621431,3
538,'2020/01/13 08:29:49:366',22,344.53125,4.42833,13.250823,3
539,'2020/01/13 08:29:50:016',22,387.597656,2.866589,7.315049,3
540,'2020/01/13 08:29:50:682',22,387.597656,2.726317,6.643594,3
541,'2020/01/13 08:29:51:332',22,301.464844,4.305347,10.801739,3
542,'2020/01/13 08:29:52:016',22,258.398438,3.388923,10.201544,3
543,'2020/01/13 08:29:52:649',22,0,0.528867,5.153756,3
544,'2020/01/13 08:29:53:298',22,129.199219,4.2682,9.674518,3
545,'2020/01/13 08:29:53:916',22,2239.453125,1.850361,6.734739,3
546,'2020/01/13 08:29:54:582',22,387.597656,2.863012,8.586543,3
547,'2020/01/13 08:29:55:249',22,430.664063,2.771401,9.373198,3
548,'2020/01/13 08:29:55:899',22,387.597656,3.794124,10.088841,3
549,'2020/01/13 08:29:56:548',22,430.664063,2.01254,7.527349,3
550,'2020/01/13 08:29:57:198',22,387.597656,4.038746,11.830848,3
551,'2020/01/13 08:29:57:848',22,2368.652344,0.650796,5.19873,3
552,'2020/01/13 08:29:58:499',22,344.53125,3.470517,11.559673,3
553,'2020/01/13 08:29:59:182',22,344.53125,4.494194,10.400296,3
554,'2020/01/13 08:29:59:815',22,258.398438,4.953155,14.633246,3
555,'2020/01/13 08:30:00:482',22,0,4.778927,15.303235,3
556,'2020/01/13 08:30:01:116',22,1722.65625,1.293641,7.858733,3
557,'2020/01/13 08:30:01:748',22,129.199219,4.634643,13.089202,3
558,'2020/01/13 08:30:02:398',22,473.730469,4.598684,15.014729,3
559,'2020/01/13 08:30:03:032',22,0,5.276776,12.591396,3
560,'2020/01/13 08:30:03:665',22,344.53125,4.435674,10.906871,3
561,'2020/01/13 08:30:04:315',22,129.199219,4.205881,12.11206,3
562,'2020/01/13 08:30:04:965',22,344.53125,3.808774,13.725719,3
563,'2020/01/13 08:30:05:582',22,301.464844,4.846008,15.279715,3
564,'2020/01/13 08:30:06:215',22,86.132813,4.93744,14.741492,3
565,'2020/01/13 08:30:06:866',22,301.464844,4.88754,13.194573,3
566,'2020/01/13 08:30:07:515',22,86.132813,5.292136,15.202165,3
567,'2020/01/13 08:30:08:165',22,0,5.185025,15.970481,3
568,'2020/01/13 08:30:08:849',22,129.199219,4.717774,12.723228,3
569,'2020/01/13 08:30:09:499',22,2497.851563,2.52976,7.257158,3
570,'2020/01/13 08:30:10:116',22,2497.851563,3.22139,10.850307,3
571,'2020/01/13 08:30:10:765',22,602.929688,2.537735,6.958421,3
572,'2020/01/13 08:30:11:415',22,258.398438,4.944571,14.596761,3
573,'2020/01/13 08:30:12:032',22,301.464844,4.96088,13.550643,3
574,'2020/01/13 08:30:12:682',22,301.464844,4.943039,11.125751,3
575,'2020/01/13 08:30:13:316',22,2540.917969,4.228681,11.421004,3
576,'2020/01/13 08:30:13:949',22,2411.71875,1.962387,7.505314,3
577,'2020/01/13 08:30:14:582',22,2368.652344,1.332504,6.75059,3
578,'2020/01/13 08:30:15:215',22,387.597656,1.716161,7.899158,3
579,'2020/01/13 08:30:16:798',22,344.53125,4.82676,12.583304,3
580,'2020/01/13 08:30:18:016',22,0,3.016915,10.833503,3
581,'2020/01/13 08:30:19:049',22,86.132813,0.662716,7.474934,3
582,'2020/01/13 08:30:20:116',22,172.265625,5.302795,16.52701,3
583,'2020/01/13 08:30:21:649',22,344.53125,4.168493,10.036431,3
